Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,SalePrice
NWAmes,Plywood,1978,80.0,2784,564,5,3,250000
OldTown,Stucco,1916,60.0,2526,216,5,2,136000
Gilbert,VinylSd,2006,42.0,1746,758,3,2,377500
BrkSide,Wd Sdng,1941,60.0,1218,440,3,1,131000
CollgCr,VinylSd,2000,70.0,1525,541,3,2,235000
NAmes,Plywood,1967,65.0,1584,792,4,2,124000
NAmes,HdBoard,1967,68.0,900,288,3,1,123000
OldTown,Wd Sdng,1905,60.0,1912,672,3,2,163000
Blmngtn,VinylSd,2006,53.0,1500,648,2,2,246578
Timber,VinylSd,2005,88.0,2482,642,4,2,281213
Timber,Wd Sdng,1948,,1687,572,3,1,160000
BrkSide,MetalSd,1920,51.0,1513,180,4,1,137500
NAmes,VinylSd,1950,60.0,1904,240,3,1,138000
SWISU,WdShing,1925,51.0,1608,216,3,2,137450
BrkSide,WdShing,1929,50.0,1158,208,3,1,120000
Gilbert,VinylSd,2004,62.0,1593,398,3,2,193000
CollgCr,VinylSd,2006,64.0,1294,662,2,2,193879
Somerst,VinylSd,2007,49.0,1464,754,3,2,282922
OldTown,Wd Sdng,1915,60.0,1214,936,3,1,105000
Crawfor,CemntBd,2004,44.0,1646,482,2,2,275000
CollgCr,HdBoard,1972,70.0,768,396,2,1,133000
Mitchel,HdBoard,1985,,833,0,3,1,112000
OldTown,VinylSd,1910,60.0,1363,528,3,1,125500
NWAmes,Plywood,1986,46.0,2093,542,3,2,215000
CollgCr,VinylSd,2001,79.0,1840,622,3,2,230000
NAmes,VinylSd,1950,80.0,1668,271,3,1,140000
NAmes,BrkFace,1949,60.0,1040,420,2,2,90000
SawyerW,VinylSd,2005,88.0,1844,620,2,2,257000
BrkSide,Wd Sdng,1923,64.0,1848,370,4,1,207000
Blmngtn,VinylSd,2007,51.0,1569,660,1,2,175900
OldTown,VinylSd,1885,60.0,2290,560,4,2,122500
NoRidge,VinylSd,1998,,2450,1069,3,2,340000
NAmes,HdBoard,1963,71.0,1144,336,3,1,124000
Crawfor,Plywood,1969,,1844,540,3,2,223000
NWAmes,HdBoard,1968,90.0,1416,776,3,2,179900
NPkVill,Plywood,1977,53.0,1069,440,2,2,127500
CollgCr,VinylSd,2003,37.0,848,420,1,1,136500
Edwards,Plywood,1966,,2201,432,4,2,274970
NAmes,HdBoard,1958,,1344,484,2,1,144000
NAmes,HdBoard,1959,80.0,1252,528,3,1,142000
NoRidge,VinylSd,1994,81.0,2127,525,3,2,271000
NAmes,MetalSd,1945,60.0,1558,288,3,1,140000
OldTown,MetalSd,1940,60.0,804,240,2,1,119000
NWAmes,MetalSd,1981,,1440,467,3,2,182900
Gilbert,VinylSd,2005,60.0,1838,372,4,2,192140
NPkVill,Plywood,1976,,958,440,2,2,143750
OldTown,Wd Sdng,1927,60.0,968,216,4,2,64500
Gilbert,VinylSd,2000,93.0,1792,451,3,2,186500
Mitchel,BrkFace,1977,80.0,1126,484,3,2,160000
NAmes,Wd Sdng,1962,80.0,1537,462,3,1,174000
NAmes,HdBoard,1971,60.0,864,528,3,1,120500
NridgHt,VinylSd,2008,96.0,1932,774,2,2,394617
OldTown,MetalSd,1957,90.0,1236,923,2,1,149700
NWAmes,HdBoard,1979,80.0,1725,550,3,2,197000
Crawfor,MetalSd,1922,79.0,2555,672,3,2,191000
CollgCr,VinylSd,2004,,848,420,1,1,149300
Somerst,VinylSd,2008,85.0,2007,812,3,2,310000
BrkSide,Wd Sdng,1916,,952,192,2,1,121000
CollgCr,VinylSd,2004,63.0,1422,626,3,2,179600
Sawyer,VinylSd,1966,70.0,913,240,3,1,129000
Mitchel,HdBoard,1962,,1188,312,3,1,157900
CollgCr,VinylSd,1995,80.0,2090,556,3,2,240000
Edwards,MetalSd,1910,70.0,1346,384,2,1,112000
MeadowV,CemntBd,1970,21.0,630,0,1,1,92000
NAmes,VinylSd,1974,60.0,1792,0,4,2,136000
Somerst,CemntBd,2008,78.0,1578,840,3,2,287090
Edwards,VinylSd,2005,35.0,1072,525,2,1,145000
Mitchel,VinylSd,2006,90.0,1140,0,3,1,84500
Somerst,VinylSd,2004,62.0,1221,400,2,2,185000
Gilbert,VinylSd,1999,62.0,1647,460,3,2,175000
NWAmes,Plywood,1978,85.0,2073,500,3,2,210000
Crawfor,CemntBd,1941,66.0,2340,252,4,2,266500
NAmes,MetalSd,1950,68.0,1078,240,2,1,142125
Edwards,HdBoard,1965,75.0,1256,276,3,1,147500
